EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000004142,2.866484304,4.720008595,3.837922805,4.143143891
ENSG00000004399,2.726445499,5.344325482,4.56579602,4.223075661
ENSG00000004455,3.665606462,5.647880738,4.247284286,4.504732895
ENSG00000004468,2.199859906,1.362028924,3.579413189,2.482889605
ENSG00000004478,2.994124522,5.344325482,4.247284286,4.370766879
ENSG00000004487,7.361778082,5.647880738,6.555498128,6.444964332
ENSG00000004534,7.630904084,6.112019471,7.571675261,7.354213341
ENSG00000004660,1.970750446,2.873298476,3.579413189,3.409117527
ENSG00000004700,5.472402658,5.898535294,5.238728167,4.989177979
ENSG00000004766,4.634196984,4.073925384,3.579413189,4.567322475
ENSG00000004776,3.586794977,1.362028924,1.362028924,1.362028924
ENSG00000004777,1.362028924,3.595062759,1.362028924,2.721750054
ENSG00000004779,3.219825396,6.297947081,4.247284286,4.684900974
ENSG00000004799,1.362028924,1.362028924,3.579413189,4.223075661
ENSG00000004838,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000004846,1.698259332,1.362028924,2.297582008,1.362028924
ENSG00000004864,3.586794977,1.362028924,2.860406165,3.409117527
ENSG00000004866,6.600185591,1.362028924,5.238728167,4.223075661
ENSG00000004897,7.391065229,4.720008595,6.847647,5.953214408
ENSG00000004939,5.011409866,7.44144715,6.625723403,8.136422392
ENSG00000004961,2.571337666,5.344325482,3.837922805,3.539723606
ENSG00000004975,2.726445499,1.362028924,1.362028924,2.482889605
ENSG00000005007,4.917918584,5.778644789,4.941146883,5.640361601
ENSG00000005020,10.66146906,7.518326343,9.497355935,9.145287775
ENSG00000005022,5.208535837,5.50407225,5.695817466,5.161368507
ENSG00000005059,2.39752232,1.362028924,2.297582008,3.539723606
ENSG00000005075,5.234620255,4.959398801,5.820827315,4.684900974
ENSG00000005100,4.229705474,3.595062759,3.837922805,3.409117527
ENSG00000005102,1.362028924,1.362028924,3.579413189,2.196479516
ENSG00000005108,1.362028924,1.362028924,1.362028924,2.926623954
ENSG00000005156,2.726445499,4.720008595,3.579413189,3.539723606
ENSG00000005175,7.414074272,6.297947081,5.325686124,5.48691406
ENSG00000005187,3.811382128,3.595062759,2.860406165,1.83876202
ENSG00000005189,4.377499418,1.362028924,2.860406165,2.721750054
ENSG00000005194,2.571337666,4.073925384,1.362028924,2.196479516
ENSG00000005206,2.39752232,4.432835737,2.297582008,3.409117527
ENSG00000005238,5.181971105,5.164662069,4.415312308,5.351202356
ENSG00000005243,1.698259332,1.362028924,1.362028924,2.721750054
ENSG00000005249,12.0352821,7.59131519,9.874322467,9.949833216
ENSG00000005302,3.943770414,4.432835737,4.702055223,5.386345752
ENSG00000005339,6.324678277,6.678998746,6.659594425,7.345310738
ENSG00000005379,2.571337666,5.647880738,1.362028924,4.439304308
ENSG00000005381,1.362028924,1.362028924,2.860406165,2.482889605
ENSG00000005436,3.414946844,4.720008595,2.860406165,3.409117527
ENSG00000005448,1.698259332,3.595062759,1.362028924,2.196479516
ENSG00000005469,2.994124522,4.720008595,2.297582008,2.721750054
ENSG00000005471,1.362028924,1.362028924,1.362028924,2.482889605
ENSG00000005483,8.558377964,7.360239428,7.70740558,7.895464677
ENSG00000005486,2.866484304,1.362028924,2.860406165,3.409117527
ENSG00000005700,6.348761846,4.073925384,5.146190752,5.48691406
ENSG00000005801,2.199859906,3.595062759,2.860406165,3.105989111
ENSG00000005810,7.978325541,6.538413452,7.090481522,7.272040221
ENSG00000005812,6.87353234,6.112019471,6.188766132,5.805251825
ENSG00000005844,4.065024699,6.610417862,5.935863512,7.233960548
ENSG00000005882,3.943770414,1.362028924,3.837922805,3.409117527
ENSG00000005884,1.698259332,3.595062759,1.362028924,1.83876202
ENSG00000005889,4.852045989,4.959398801,5.047308503,5.240323861
ENSG00000005893,5.714050751,1.362028924,4.82654835,5.580926414
ENSG00000005961,10.51218825,6.610417862,7.889699424,8.531251999
ENSG00000006007,6.224110262,4.073925384,3.837922805,5.161368507
ENSG00000006015,2.39752232,4.073925384,4.702055223,3.968626535
ENSG00000006016,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000006025,2.199859906,1.362028924,1.362028924,3.77005544
ENSG00000006062,2.199859906,2.873298476,3.264245782,4.627309213
ENSG00000006071,1.362028924,1.362028924,3.837922805,1.362028924
ENSG00000006116,1.362028924,1.362028924,2.297582008,1.362028924
ENSG00000006118,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000006125,8.606615282,6.297947081,6.787645722,6.771705839
ENSG00000006128,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000006194,2.39752232,1.362028924,2.860406165,3.968626535
ENSG00000006210,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000006282,1.362028924,1.362028924,2.860406165,3.409117527
ENSG00000006283,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000006327,1.362028924,1.362028924,2.860406165,2.482889605
ENSG00000006432,1.698259332,1.362028924,2.297582008,3.77005544
ENSG00000006451,4.468235768,4.720008595,4.702055223,4.845046488
ENSG00000006459,7.18578265,6.867112773,5.990115243,6.267840943
